Symbol,ann_return,ann_volatility,sharpe_ratio,max_drawdown,Industry
ADANIPORTS,0.18779316139442728,0.38909603579053964,0.48263961611589684,-0.5126641651030692,SERVICES
ASIANPAINT,0.40020783038424795,0.29578261107776144,1.353047188239637,-0.2087183820034742,CONSUMER GOODS
AXISBANK,0.1149134495187511,0.48407879912802637,0.23738583408735664,-0.63156295576074,FINANCIAL SERVICES
BAJAJ-AUTO,0.16656316610850547,0.3090342229183255,0.5389796783077594,-0.41070178109300015,AUTOMOBILE
BAJAJFINSV,0.2591777394547382,0.4413822299432023,0.5871956816869813,-0.5858958485989278,FINANCIAL SERVICES
BAJFINANCE,0.4762428686102041,0.49563717368178606,0.9608699544798053,-0.6252394758679911,FINANCIAL SERVICES
BHARTIARTL,0.316782198198405,0.39984426636416165,0.792263950661897,-0.33583834335331725,TELECOM
BPCL,0.12303936597483695,0.4566920459282059,0.26941429579274495,-0.5173521850898792,ENERGY
BRITANNIA,0.12094295735672039,0.31303384850632093,0.38635744311734554,-0.36231170768082444,CONSUMER GOODS
CIPLA,0.28017070328046934,0.324597295887585,0.8631332014891002,-0.3525142560911781,PHARMA
COALINDIA,-0.23182807005347877,0.35030515681354313,-0.6617889159727528,-0.5892624930334054,METALS
DRREDDY,0.3947067960881847,0.2970173300235789,1.328901569224801,-0.210747157552782,PHARMA
EICHERMOT,-0.3305944277456781,0.7610649074081892,-0.43438401177644737,-0.9127456333050994,AUTOMOBILE
GAIL,-0.36189546663674205,0.543471338407902,-0.6658961402276049,-0.8086045228900143,ENERGY
GRASIM,0.13806857113735055,0.40785765204609836,0.33852146799465493,-0.5750849617671436,CEMENT & CEMENT PRODUCTS
HCLTECH,0.14285727877510568,0.4812099127489764,0.29687102231399837,-0.6570752524611774,IT
HDFC,0.19560155449380762,0.38024795259751076,0.5144052797817683,-0.3983268466877825,FINANCIAL SERVICES
HDFCBANK,-0.05574621436256462,0.4795780292959089,-0.11624013392103105,-0.6923046092184091,FINANCIAL SERVICES
HEROMOTOCO,0.07050464398726328,0.38452917327497194,0.18335317283849092,-0.5032932600076575,AUTOMOBILE
HINDALCO,0.1433578513051175,0.45593222357704527,0.3144279870129634,-0.6053872053869336,METALS
HINDUNILVR,0.18194110091636068,0.2750060742005328,0.6615893899039167,-0.2076943177021484,CONSUMER GOODS
ICICIBANK,0.28891453984407967,0.42844132778815924,0.6743386341093084,-0.48307244266463717,FINANCIAL SERVICES
INDUSINDBK,-0.06207303368866376,0.6901784822200603,-0.08993765421373755,-0.8345505463730254,FINANCIAL SERVICES
INFY,0.38305978081059305,0.34480137728981425,1.1109578033312955,-0.3733857049335983,IT
IOC,-0.15243439437212195,0.3409892679067945,-0.4470357535389781,-0.5783736004710793,ENERGY
ITC,-0.10427495376031565,0.31262470432613265,-0.3335467488141324,-0.5206705729164972,CONSUMER GOODS
JSWSTEEL,0.22047049141850014,0.439000366904185,0.5022102667545114,-0.5444390480814169,METALS
KOTAKBANK,0.3029208505034282,0.36128801199357774,0.8384470017371299,-0.36498988146861144,FINANCIAL SERVICES
LT,0.0010118104654685928,0.34089250062874205,0.0029681218076243908,-0.5564536340851781,CONSTRUCTION
M&M,0.047285950841002226,0.41033169110144435,0.115238359246759,-0.6521626689079133,AUTOMOBILE
MARUTI,0.0906183972034282,0.39727847515899606,0.2280979283973332,-0.48046313444626576,AUTOMOBILE
NESTLEIND,0.3007132135466428,0.2851081494315907,1.0547338406169378,-0.22879884182650498,CONSUMER GOODS
NTPC,-0.14740417591563124,0.33693825994690824,-0.4374812640603942,-0.5187401574799883,ENERGY
ONGC,-0.13773895848358877,0.4458433804734037,-0.3089402343631104,-0.6610169491521689,ENERGY
POWERGRID,0.015025185459328945,0.28755478955559005,0.05225155692007391,-0.326401869158726,ENERGY
RELIANCE,0.3630529961215132,0.3823559388669857,0.9495157760655597,-0.450883567812637,ENERGY
SBIN,0.04399820703143549,0.4177700612845573,0.10531680246693204,-0.5949248120299154,FINANCIAL SERVICES
SHREECEM,0.2285963616431574,0.322987399765573,0.7077562831810125,-0.3689685639695021,CEMENT & CEMENT PRODUCTS
SUNPHARMA,0.22166622635494587,0.3554432586699069,0.6236332266423418,-0.3223347603633033,PHARMA
TATAMOTORS,0.20174603765623375,0.5896270944573513,0.34215869575615393,-0.7235978835975773,AUTOMOBILE
TATASTEEL,0.20880393428570224,0.4392231077097585,0.47539378182293146,-0.544597989949651,METALS
TCS,0.25194289026588945,0.29804835035933963,0.8453087892538429,-0.28165675278209434,IT
TECHM,0.21177967942273943,0.3377684244028103,0.6269966760050935,-0.42062076346766314,IT
TITAN,0.3299313730898886,0.35559837258945926,0.9278202557412,-0.4173002073405538,CONSUMER GOODS
ULTRACEMCO,0.2001846186127452,0.3449010186422152,0.5804117927594947,-0.37656087005917366,CEMENT & CEMENT PRODUCTS
UPL,-0.11879924471122064,0.4850470777935591,-0.24492312215782583,-0.753890768487119,FERTILISERS & PESTICIDES
VEDL,0.026775094914119054,0.5226036673165677,0.05123403562489088,-0.6954477981193987,METALS
WIPRO,0.15290274641054638,0.36338115258001036,0.42077786721423865,-0.5811943763702874,IT
ZEEL,-0.14583859137256558,0.6936116922725704,-0.2102597072343311,-0.7550118227612307,MEDIA & ENTERTAINMENT
