feature,importance
month,469
price_to_SMA200,468
drawdown,389
vol_63d,371
ATR_pct,234
MACD_line,214
vol_21d,205
MACD_signal,198
ret_63d,188
MACD_hist,171
price_to_SMA50,144
ret_21d,106
vol_10d,74
price_to_SMA20,68
RSI_14,67
vol_ratio,41
ret_10d,38
BB_pctB,31
momentum_21,30
ret_5d,27
dow,1
ret_1d,0
momentum_10,0
